Hour,ANG,BTSW,DRC,LES,MAL,MOZ,NAM,STAF,SWA,TAN,ZAM,ZIM
0,1056.634008,598.130406,973.8204912,47.73086784,379.6311964,3659.71939,119.6502993,23518.132,47.91551336,667.4935676,3457.982492,2025.09866
1,1012.703833,622.84654,933.3333364,45.74642917,363.847808,3593.705928,114.6757683,23065.395,45.92339795,639.7421333,3600.874336,2108.780428
2,999.2165278,598.130406,920.9030962,45.13717299,359.0020412,3560.58968,113.1485033,22761.809,45.31178488,631.2219743,3457.982492,2025.09866
3,993.6290004,612.9601116,915.7534903,44.88477005,356.9945348,3545.147944,112.5157872,22942.729,45.05840552,627.6922388,3543.717744,2075.307806
4,1012.703833,621.1988228,933.3333364,45.74642917,363.847808,3541.985174,114.6757683,24093.265,45.92339795,639.7421333,3591.34836,2103.201728
5,1060.487524,632.7330104,977.3719882,47.90494102,381.0157012,3523.227654,120.0866607,26317.28,48.09025994,669.9278987,3658.031172,2142.253192
6,1215.591479,687.1085132,1120.319696,54.91138441,436.7419974,3569.815708,137.6502015,27410.908,55.12380756,767.9096891,3972.393284,2326.353108
7,1406.918577,799.1549742,1296.651564,63.55412007,505.4826726,3771.533192,159.3155505,29254.794,63.79997741,888.7742517,4620.16958,2705.710412
8,1487.457035,779.3820756,1370.877833,67.19224876,534.4188142,3839.177318,168.4355017,30934.634,67.45218009,939.6517573,4505.856152,2638.765028
9,1533.31385,738.188519,1413.140628,69.26371869,550.8944124,3842.44971,173.6282,31672.818,69.53166344,968.6202826,4267.703076,2499.295416
10,1523.680061,743.1317332,1404.261885,68.82853572,547.4331506,3888.632674,172.5372965,31518.204,69.09479698,962.534455,4296.281372,2516.031724
11,1508.458685,746.4272304,1390.233482,68.14094713,541.964361,3854.323654,170.8136702,31217.632,68.40454847,952.9188544,4315.333692,2527.189338
12,1504.605168,746.4272304,1386.681985,67.96687392,540.579856,3822.805412,170.3773087,30754.257,68.22980187,950.4845231,4315.333692,2527.189338
13,1487.457035,685.4607542,1370.877833,67.19224876,534.4188142,3822.805412,168.4355017,30286.161,67.45218009,939.6517573,3962.867064,2320.774266
14,1443.33429,662.3923794,1330.213201,65.19911122,518.5662386,3851.642552,163.4391647,30246.901,65.45133215,911.7786733,3829.501436,2242.671342
15,1431.773742,640.9717216,1319.55871,64.67689163,514.4127242,3799.10095,162.1300804,30639.584,64.92709237,904.4756799,3705.661788,2170.147114
16,1426.186156,662.3923794,1314.40905,64.42448604,512.4051964,3759.101126,161.4973576,31455.462,64.67371035,900.9459072,3829.501436,2242.671342
17,1433.7005,718.4155994,1321.334458,64.76392823,515.1049766,3755.938356,162.3482611,33122.821,65.01446567,905.6928454,4153.389524,2432.349958
18,1525.606818,769.495626,1406.037634,68.91557231,548.125403,3976.59914,172.7554772,34773.633,69.18217027,963.7516205,4448.69944,2605.292334
19,1701.712511,807.3936856,1568.341072,76.87071806,611.3972778,4171.246726,192.6971965,34092.261,77.16809027,1075.000564,4667.800196,2733.604336
20,1623.293469,779.3820756,1496.068109,73.32832883,583.2226076,4169.758486,183.8172421,32151.777,73.61199742,1025.461929,4505.856152,2638.765028
21,1489.191105,662.3923794,1372.475996,67.27058115,535.0418368,4099.575652,168.631863,29586.033,67.5308155,940.7471986,3829.501436,2242.671342
22,1311.158684,598.130406,1208.396837,59.22840015,471.0777204,3956.988028,148.4719663,26617.927,59.45752355,828.2811084,3457.982492,2025.09866
23,1158.174116,614.6078288,1067.40241,52.31769489,416.1128848,3755.28172,131.1484189,24706.592,52.52008443,731.6381703,3553.243722,2080.886506
