ANG,BTSW,DRC,LES,MAL,MOZ,NAM,STAF,SWA,TAN,ZAM,ZIM
1073.40342,261.4944693,989.2756027,48.48838515,192.8280849,1732.803072,121.5492208,21520.052,48.67596111,678.0870883,1511.782861,885.3455604
1034.072611,254.0936903,953.0273399,46.71171167,185.762629,1702.062166,117.0955093,20761.522,46.89241462,653.2411516,1468.996599,860.2886373
1014.407207,256.5606237,934.9032085,45.82337493,182.2299011,1686.653702,114.8686536,20101.316,46.00064137,640.8181833,1483.258726,868.6409687
1002.607945,258.2052389,924.0287112,45.29037198,180.1102607,1680.642477,113.5325379,19756.723,45.46557652,633.3643896,1492.766772,874.209166
1012.440646,259.027557,933.0907767,45.73454034,181.8766247,1680.19777,114.6459657,19678.43,45.91146313,639.5758737,1497.520854,876.9933
1012.440646,271.3622025,933.0907767,45.73454034,181.8766247,1677.605567,114.6459657,19602.338,45.91146313,639.5758737,1568.83137,918.7548857
1045.871824,296.0314937,963.901791,47.24471236,187.8822604,1698.341663,118.4316194,19783.327,47.4274772,660.6949136,1711.452405,1002.278057
1142.232335,305.8992059,1052.710063,51.59756375,205.1926326,1789.22916,129.3432159,21096.426,51.79716748,721.5674776,1768.500794,1035.687312
1256.291689,300.9653394,1157.830034,56.74991729,225.6824564,1819.883127,142.2589803,22415.322,56.96945276,793.6207002,1739.976539,1018.982649
1299.555569,286.9860786,1197.703114,58.70425769,233.4544561,1826.8939,147.1580618,23443.308,58.93135346,820.9512245,1659.157977,971.652866
1325.120604,283.6968481,1221.264494,59.85909589,238.0470042,1842.919807,150.0529754,24192.012,60.09065912,837.1010895,1640.141887,960.5164714
1346.752519,298.498406,1241.201011,60.83626496,241.9329995,1827.750249,152.5025133,24226.095,61.07160834,850.7663359,1725.714411,1010.630318
1332.986746,308.3661392,1228.514128,60.21442968,239.4600917,1816.813134,150.9437154,23918.295,60.44736751,842.0702642,1782.762922,1044.039643
1256.291689,293.5645604,1157.830034,56.74991729,225.6824564,1816.813134,142.2589803,23536.271,56.96945276,793.6207002,1697.190277,993.9257259
1187.462775,279.5852996,1094.395574,53.64073871,213.3179087,1830.083899,134.4649852,22858.751,53.84824641,750.1403112,1616.371715,946.5959429
1155.998108,274.651433,1065.396945,52.219399,207.6655403,1804.670652,130.9020138,22609.81,52.42140829,730.2635489,1587.847461,929.8912802
1169.763881,281.2299148,1078.083828,52.84123428,210.1384481,1787.526334,132.4608117,22440.021,53.04564911,738.9596206,1625.879761,952.1641401
1201.228548,291.0976271,1107.082457,54.26257397,215.7908164,1787.081627,136.0237831,22398.466,54.47248721,758.8363826,1682.92815,985.5733945
1234.659725,318.2338515,1137.893471,55.77274598,221.7964521,1872.139362,139.8094367,22640.478,55.98850129,779.9554226,1839.811311,1077.448897
1372.317555,351.9485473,1264.762391,61.99110318,246.5255477,1956.656723,155.3974269,23897.548,62.23091403,866.9162012,2034.726712,1191.597224
1454.912243,333.0354199,1340.883734,65.72211703,261.3630031,1958.751505,164.7502199,24083.832,65.9763612,919.0926618,1925.383895,1127.562779
1329.053675,300.1430422,1224.889311,60.03676279,238.7535479,1932.439017,150.4983454,22859.162,60.26901332,839.5856769,1735.222577,1016.198586
1207.128179,277.1183663,1112.519706,54.52907545,216.8506366,1870.55656,136.691841,21448.001,54.74001965,762.5632796,1602.109588,938.2436115
1093.068824,262.3167874,1007.399734,49.37672189,196.3608128,1786.853768,123.7760765,20300.404,49.56773435,690.5100566,1516.536944,888.1296945
1073.40342,261.4944693,989.2756027,48.48838515,192.8280849,1732.803072,121.5492208,19716.256,48.67596111,678.0870883,1511.782861,885.3455604
1034.072611,254.0936903,953.0273399,46.71171167,185.762629,1702.062166,117.0955093,19384.304,46.89241462,653.2411516,1468.996599,860.2886373
1014.407207,256.5606237,934.9032085,45.82337493,182.2299011,1686.653702,114.8686536,19303.715,46.00064137,640.8181833,1483.258726,868.6409687
1002.607945,258.2052389,924.0287112,45.29037198,180.1102607,1680.642477,113.5325379,19425.492,45.46557652,633.3643896,1492.766772,874.209166
1012.440646,259.027557,933.0907767,45.73454034,181.8766247,1680.19777,114.6459657,19775.048,45.91146313,639.5758737,1497.520854,876.9933
1012.440646,271.3622025,933.0907767,45.73454034,181.8766247,1677.605567,114.6459657,20563.791,45.91146313,639.5758737,1568.83137,918.7548857
1045.871824,296.0314937,963.901791,47.24471236,187.8822604,1698.341663,118.4316194,21679.803,47.4274772,660.6949136,1711.452405,1002.278057
1142.232335,305.8992059,1052.710063,51.59756375,205.1926326,1789.22916,129.3432159,23136.529,51.79716748,721.5674776,1768.500794,1035.687312
1256.291689,300.9653394,1157.830034,56.74991729,225.6824564,1819.883127,142.2589803,24902.365,56.96945276,793.6207002,1739.976539,1018.982649
1299.555569,286.9860786,1197.703114,58.70425769,233.4544561,1826.8939,147.1580618,25680.299,58.93135346,820.9512245,1659.157977,971.652866
1325.120604,283.6968481,1221.264494,59.85909589,238.0470042,1842.919807,150.0529754,26020.764,60.09065912,837.1010895,1640.141887,960.5164714
1346.752519,298.498406,1241.201011,60.83626496,241.9329995,1827.750249,152.5025133,26127.901,61.07160834,850.7663359,1725.714411,1010.630318
1332.986746,308.3661392,1228.514128,60.21442968,239.4600917,1816.813134,150.9437154,26014.849,60.44736751,842.0702642,1782.762922,1044.039643
1256.291689,293.5645604,1157.830034,56.74991729,225.6824564,1816.813134,142.2589803,25784.44,56.96945276,793.6207002,1697.190277,993.9257259
1187.462775,279.5852996,1094.395574,53.64073871,213.3179087,1830.083899,134.4649852,25770.874,53.84824641,750.1403112,1616.371715,946.5959429
1155.998108,274.651433,1065.396945,52.219399,207.6655403,1804.670652,130.9020138,25959.357,52.42140829,730.2635489,1587.847461,929.8912802
1169.763881,281.2299148,1078.083828,52.84123428,210.1384481,1787.526334,132.4608117,26007.237,53.04564911,738.9596206,1625.879761,952.1641401
1201.228548,291.0976271,1107.082457,54.26257397,215.7908164,1787.081627,136.0237831,26114.897,54.47248721,758.8363826,1682.92815,985.5733945
1234.659725,318.2338515,1137.893471,55.77274598,221.7964521,1872.139362,139.8094367,26177.204,55.98850129,779.9554226,1839.811311,1077.448897
1372.317555,351.9485473,1264.762391,61.99110318,246.5255477,1956.656723,155.3974269,27388.818,62.23091403,866.9162012,2034.726712,1191.597224
1454.912243,333.0354199,1340.883734,65.72211703,261.3630031,1958.751505,164.7502199,27111.168,65.9763612,919.0926618,1925.383895,1127.562779
1329.053675,300.1430422,1224.889311,60.03676279,238.7535479,1932.439017,150.4983454,25301.371,60.26901332,839.5856769,1735.222577,1016.198586
1207.128179,277.1183663,1112.519706,54.52907545,216.8506366,1870.55656,136.691841,23455.216,54.74001965,762.5632796,1602.109588,938.2436115
1093.068824,262.3167874,1007.399734,49.37672189,196.3608128,1786.853768,123.7760765,22083.184,49.56773435,690.5100566,1516.536944,888.1296945
1089.196147,249.8696544,1003.830577,49.20178314,195.6651182,1732.803072,123.3375453,21062.985,49.39211885,688.063621,1444.576101,845.9872585
1070.121255,260.1948473,986.2506772,48.34012136,192.238471,1702.062166,121.1775576,20653.376,48.52712376,676.0136894,1504.269332,880.9454117
1054.899879,249.8696544,972.2222741,47.65253277,189.5040762,1686.653702,119.4539313,20434.657,47.83687526,666.3980889,1444.576101,845.9872585
1041.412574,256.0647807,959.7920339,47.04327659,187.0811928,1680.642477,117.9266663,20424.946,47.22526219,657.8779299,1480.3921,866.9621859
1064.340981,259.5065117,980.9234312,48.07901156,191.2000924,1680.19777,120.5230154,20977.876,48.26500387,672.3621926,1500.289844,878.6149036
1140.833295,264.3249315,1051.420672,51.53436552,204.9413066,1677.605567,129.1847925,21763.44,51.73372477,720.6836803,1528.146665,894.9286966
1313.085442,287.0403594,1210.172586,59.31543674,235.8849863,1698.341663,148.690147,22906.479,59.54489684,829.498274,1659.471792,971.8366454
1406.918577,333.8478953,1296.651564,63.55412007,252.7413363,1789.22916,159.3155505,24389.356,63.79997741,888.7742517,1930.081074,1130.313588
1508.458685,325.5877445,1390.233482,68.14094713,270.9821805,1819.883127,170.8136702,26156.12,68.40454847,952.9188544,1882.32651,1102.347078
1535.240608,308.3790897,1414.916377,69.35075528,275.7933324,1826.8939,173.8463807,26727.357,69.61903673,969.8374481,1782.837792,1044.083489
1533.31385,310.444123,1413.140628,69.26371869,275.4472062,1842.919807,173.6282,27045.222,69.53166344,968.6202826,1794.776408,1051.075102
1541.020882,311.8208207,1420.243623,69.61186509,276.8317111,1827.750249,174.5009229,27147.623,69.88115663,973.488945,1802.735535,1055.736207
1537.167366,311.8208207,1416.692125,69.43779188,276.1394586,1816.813134,174.0645615,27019.112,69.70641003,971.0546137,1802.735535,1055.736207
1493.044621,286.3520062,1376.027494,67.44465436,268.2131709,1816.813134,169.0682245,26971.479,67.70556211,943.18153,1655.492203,969.5060781
1477.823245,276.7151665,1361.99909,66.75706577,265.4787761,1830.083899,167.3445981,26953.035,67.0153136,933.5659294,1599.778561,936.8784922
1477.823245,267.7666625,1361.99909,66.75706577,265.4787761,1804.670652,167.3445981,27112.019,67.0153136,933.5659294,1548.044407,906.5814143
1460.482424,276.7151665,1346.017353,65.9737364,262.3636403,1787.526334,165.3809717,27261.031,66.22895395,922.6114394,1599.778561,936.8784922
1416.552366,300.1189301,1305.530307,63.98930305,254.4719672,1787.081627,160.4064541,27505.491,64.23684387,894.8600793,1735.083178,1016.116949
1431.773742,321.4576691,1319.55871,64.67689163,257.2063621,1872.139362,162.1300804,27620.117,64.92709237,904.4756799,1858.449227,1088.363822
1537.167366,337.2896263,1416.692125,69.43779188,276.1394586,1956.656723,174.0645615,28382.553,69.70641003,971.0546137,1949.978818,1141.966306
1569.729593,325.5877445,1446.702293,70.90871117,281.9889945,1958.751505,177.7518176,27872.44,71.18301953,991.6247229,1882.32651,1102.347078
1458.748353,276.7151665,1344.41919,65.89540399,262.0521288,1932.439017,165.1846104,25964.264,66.15031851,921.5159978,1599.778561,936.8784922
1305.571098,249.8696544,1203.247177,58.97599455,234.5350963,1870.55656,147.8392436,23837.986,59.20414153,824.7513358,1444.576101,845.9872585
1175.32225,256.7531164,1083.206561,53.09232007,211.1369634,1786.853768,133.0902259,22540.591,53.29770622,742.4709364,1484.371588,869.292694
1089.196147,249.8696544,1003.830577,49.20178314,195.6651182,1732.803072,123.3375453,20915.407,49.39211885,688.063621,1444.576101,845.9872585
1070.121255,260.1948473,986.2506772,48.34012136,192.238471,1702.062166,121.1775576,20629.905,48.52712376,676.0136894,1504.269332,880.9454117
1054.899879,249.8696544,972.2222741,47.65253277,189.5040762,1686.653702,119.4539313,20426.948,47.83687526,666.3980889,1444.576101,845.9872585
1041.412574,256.0647807,959.7920339,47.04327659,187.0811928,1680.642477,117.9266663,20349.212,47.22526219,657.8779299,1480.3921,866.9621859
1064.340981,259.5065117,980.9234312,48.07901156,191.2000924,1680.19777,120.5230154,20786.534,48.26500387,672.3621926,1500.289844,878.6149036
1140.833295,264.3249315,1051.420672,51.53436552,204.9413066,1677.605567,129.1847925,21790.801,51.73372477,720.6836803,1528.146665,894.9286966
1313.085442,287.0403594,1210.172586,59.31543674,235.8849863,1698.341663,148.690147,22929.896,59.54489684,829.498274,1659.471792,971.8366454
1406.918577,333.8478953,1296.651564,63.55412007,252.7413363,1789.22916,159.3155505,24387.929,63.79997741,888.7742517,1930.081074,1130.313588
