Hour,NAM_h,STAF_h,LES_h,SWA_h,DRC_h,MAL_h,TAN_h,ANG_h,MOZ_CAH.BAS,MOZ_CHI,MOZ_COR,ZAM_ITE.TEZ,ZAM_KAF.GO.L,ZAM_KAF.GO.U,ZAM_KARIBA,ZAM_LUS,ZAM_VICTORIA,ZIM_KARIBA,ZAM_DEVIL.GO,ZIM_DEVIL.GO,MOZ_MPHANDA,ZAM_BATOKA.GO,ZIM_BATOKA.GO
0,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
1,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
2,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
3,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
4,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
5,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
6,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
7,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
8,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
9,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
10,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
11,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
12,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
13,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
14,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
15,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
16,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
17,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
18,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
19,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
20,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
21,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
22,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
23,134,700,60,24,1294,240,261,1021,2072,31,118,216,768,873,610,6,129,462,677,677,1303,840,840
