source,sink,linemva,linesus
DRC,ANG,4000,0.002
ANG,ANG_h,1600,1
DRC,DRC_h,1900,1
LES,LES_h,90,1
MOZ,MAL,900,0.005
MAL,MAL_h,500,1
SWA,MOZ,1465,0.002
MOZ,MOZ_CAH.BAS,2725,0.005
MOZ,MOZ_MPHANDA,2000,0.001
MOZ,MOZ_CHI,100,1
MOZ,MOZ_COR,180,1
ANG,NAM,4000,0.002
NAM,NAM_h,200,1
BTSW,STAF,2010,0.004
LES,STAF,280,0.008
MOZ,STAF,2125,0.002
NAM,STAF,1630,0.003
SWA,STAF,1850,0.004
ZIM,STAF,70,0.002
STAF,STAF_h,1000,1
SWA,SWA_h,40,1
ZAM,TAN,1000,0.002
TAN,TAN_h,500,1
DRC,ZAM,1120,0.002
MAL,ZAM,200,0.004
ZAM,ZAM_DEVIL.GO,1500,0.012
ZIM_DEVIL.GO,ZAM_DEVIL.GO,600,1
ZIM,ZIM_DEVIL.GO,600,0.006
ZAM,ZAM_ITE.TEZ,200,0.01
ZAM,ZAM_KAF.GO.L,750,0.026
ZAM_KAF.GO.U,ZAM_KAF.GO.L,2000,0.168
ZAM,ZAM_KAF.GO.U,950,0.026
ZAM,ZAM_KARIBA,1400,0.01
ZIM_KARIBA,ZAM_KARIBA,1400,1
ZAM,ZAM_LUS,50,1
NAM,ZAM_VICTORIA,400,0.002
ZAM,ZAM_VICTORIA,200,0.197
BTSW,ZIM,900,0.003
ZIM,ZIM_KARIBA,1400,0.008
ZAM,ZAM_BATOKA.GO,1500,0.012
ZIM_BATOKA.GO,ZAM_BATOKA.GO,600,1
ZIM,ZIM_BATOKA.GO,600,0.006
CAHORA_s,MOZ_CAH.BAS,10000,1
KARIBA_s,ZAM_KARIBA,10000,1
KARIBA_s,ZIM_KARIBA,10000,1
DEVIL.GO_s,ZAM_DEVIL.GO,10000,1
DEVIL.GO_s,ZIM_DEVIL.GO,10000,1
BATOKA.GO_s,ZAM_BATOKA.GO,10000,1
BATOKA.GO_s,ZIM_BATOKA.GO,10000,1
MOZ_MPHANDA_s,MOZ_MPHANDA,10000,1
STAF,INF_SOURCE_s,1.00E+06,1
MAL,INF_SOURCE_s,1.00E+06,1
NAM,INF_SOURCE_s,1.00E+06,1
BTSW,INF_SOURCE_s,1.00E+06,1
ZAM,INF_SOURCE_s,1.00E+06,1
ZIM,INF_SOURCE_s,1.00E+06,1
DRC,INF_SOURCE_s,1.00E+06,1
SWA,INF_SOURCE_s,1.00E+06,1
ANG,INF_SOURCE_s,1.00E+06,1
TAN,INF_SOURCE_s,1.00E+06,1
MOZ,INF_SOURCE_s,1.00E+06,1
LES,INF_SOURCE_s,1.00E+06,1
