CB,ITT,KGL,KGU,KA,VIC,BG,DG,MN,KA_s,CB_s,BG_s,DG_s,MN_s,obj,cost,deficit,n1active,hydro,solar,wind,coal,oil,biomass,gas,nuclear,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar,trans
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38134275.63382664,38134275.63382664,0.0,4.0,271686.4570500001,0.0,0.0,478813.7329999459,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14444.35265,0.0,0.0,0.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,38092393.5616266,38092393.5616266,0.0,8.0,271683.85685000004,681.8000000000001,0.0,478134.532999945,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14441.75245,0.0,0.0,0.0,681.8000000000001,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,38050511.489456534,38050511.489456534,0.0,5.0,271681.25668000005,1363.6000000000001,0.0,477455.3329999441,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14439.152279999998,0.0,0.0,0.0,1363.6000000000001,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.15000000000000002,0.0,38008629.35562402,38008629.35562402,0.0,6.0,271678.65650000004,2045.4,0.0,476776.1320000655,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14436.5521,0.0,0.0,0.0,2045.4,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,37966747.345116444,37966747.345116444,0.0,4.0,271676.05634000007,2727.2000000000003,0.0,476096.9329999428,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14433.951939999999,0.0,0.0,0.0,2727.2000000000003,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,37924865.27292641,37924865.27292641,0.0,9.0,271673.4561500001,3409.0,0.0,475417.7329999419,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14431.351749999998,0.0,0.0,0.0,3409.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.30000000000000004,0.0,37882983.13908637,37882983.13908637,0.0,4.0,271670.85597000003,4090.8,0.0,474738.53199994145,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14428.75157,0.0,0.0,0.0,4090.8,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.35000000000000003,0.0,37841101.25189631,37841101.25189631,0.0,6.0,271668.2558000001,4772.599999999999,0.0,474059.3349999405,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14426.151399999999,0.0,0.0,0.0,4772.599999999999,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,37799219.11803627,37799219.11803627,0.0,6.0,271665.65560000006,5454.400000000001,0.0,473380.1339999401,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14423.551200000002,0.0,0.0,0.0,5454.400000000001,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.45,0.0,37757336.98420624,37757336.98420624,0.0,7.0,271663.05543000007,6136.200000000001,0.0,472700.9329999394,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14420.95103,0.0,0.0,0.0,6136.200000000001,49728.0,0.0,31272.0,0.0,Existing
