CB,ITT,KGL,KGU,KA,VIC,BG,DG,MN,KA_s,CB_s,BG_s,DG_s,MN_s,obj,cost,deficit,n1active,hydro,solar,wind,coal,oil,biomass,gas,nuclear,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar,trans
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,37729261.67476623,37729261.67476623,0.0,5.0,278363.24607000017,0.0,0.0,472136.9449999394,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,0.0,0.0,0.0,20160.0,14353.141669999997,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.05,0.0,0.0,0.0,0.0,37671530.51037619,37671530.51037619,0.0,3.0,278362.05826000014,937.45,0.0,471200.68199993885,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,0.0,0.0,937.45,20160.0,14351.953859999998,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,37613799.46934614,37613799.46934614,0.0,3.0,278360.87049000006,1874.9,0.0,470264.42099993787,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,0.0,0.0,1874.9,20160.0,14350.766090000001,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.15000000000000002,0.0,0.0,0.0,0.0,37556068.366646074,37556068.366646074,0.0,3.0,278359.6827100001,2812.35,0.0,469328.15899993724,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,0.0,0.0,2812.35,20160.0,14349.57831,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,37498337.263916,37498337.263916,0.0,5.0,278358.4949000001,3749.8,0.0,468391.8969999359,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,0.0,0.0,3749.8,20160.0,14348.3905,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.25,0.0,0.0,0.0,0.0,37440606.099555954,37440606.099555954,0.0,3.0,278357.30712000007,4687.25,0.0,467455.63399993494,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,0.0,0.0,4687.25,20160.0,14347.20272,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.30000000000000004,0.0,0.0,0.0,0.0,37382874.93518591,37382874.93518591,0.0,2.0,278356.1193300001,5624.7,0.0,466519.370999934,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,0.0,0.0,5624.7,20160.0,14346.014930000001,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.35000000000000003,0.0,0.0,0.0,0.0,37325143.832475804,37325143.832475804,0.0,3.0,278354.93154000014,6562.15,0.0,465583.10899993265,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,0.0,0.0,6562.15,20160.0,14344.82714,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,37267412.66811576,37267412.66811576,0.0,3.0,278353.74376000016,7499.6,0.0,464646.84599993186,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,0.0,0.0,7499.6,20160.0,14343.63936,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.45,0.0,0.0,0.0,0.0,37209681.68872572,37209681.68872572,0.0,3.0,278352.55597000016,8437.050000000001,0.0,463710.58599993103,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,0.0,0.0,8437.050000000001,20160.0,14342.45157,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
