CB,ITT,KGL,KGU,KA,VIC,BG,DG,MN,KA_s,CB_s,BG_s,DG_s,MN_s,obj,cost,deficit,n1active,hydro,solar,wind,coal,oil,biomass,gas,nuclear,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar,trans
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38067502.07434664,38067502.07434664,0.0,6.0,272787.2390100001,0.0,0.0,477712.9489999458,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14321.134610000003,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,38024917.44286659,38024917.44286659,0.0,5.0,272787.22329,690.65,0.0,477022.31299994525,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14321.118890000002,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,690.65,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,37982332.99634657,37982332.99634657,0.0,6.0,272787.20755000005,1381.3,0.0,476331.6799999446,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14321.103149999999,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,1381.3,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,37939748.4265265,37939748.4265265,0.0,5.0,272787.1918300001,2071.9500000000003,0.0,475641.0449999436,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14321.087430000001,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,2071.9500000000003,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,37897163.98003422,37897163.98003422,0.0,6.0,272787.17611000006,2762.6,0.0,474950.41200006887,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14321.07171,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,2762.6,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,37854579.53352639,37854579.53352639,0.0,9.0,272787.1603900001,3453.25,0.0,474259.7789999421,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14321.05599,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,3453.25,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,37811994.96372639,37811994.96372639,0.0,4.0,272787.14469,4143.900000000001,0.0,473569.1439999418,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14321.04029,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,4143.900000000001,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,37769410.45552632,37769410.45552632,0.0,7.0,272787.1289300001,4834.55,0.0,472878.5099999408,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14321.024529999999,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,4834.55,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,37726825.824046284,37726825.824046284,0.0,5.0,272787.11321000004,5525.2,0.0,472187.87399994,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14321.008810000001,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,5525.2,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45,37684241.37755626,37684241.37755626,0.0,6.0,272787.09750000003,6215.849999999999,0.0,471497.24099993974,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.993100000002,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,6215.849999999999,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,37641656.74606622,37641656.74606622,0.0,5.0,272787.08177000005,6906.5,0.0,470806.60499993886,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.97737,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,6906.5,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.55,37599072.29956998,37599072.29956998,0.0,7.0,272787.06605,7597.150000000001,0.0,470115.97200000007,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.96165,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,7597.150000000001,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,37556487.79138609,37556487.79138609,0.0,7.0,272787.05031,8287.800000000001,0.0,469425.3379999372,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.945910000002,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,8287.800000000001,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.65,37513903.2832361,37513903.2832361,0.0,6.0,272787.0346000001,8978.449999999999,0.0,468734.7039999369,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.930200000003,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,8978.449999999999,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,37471318.71341602,37471318.71341602,0.0,6.0,272787.0188800001,9669.1,0.0,468044.0689999359,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.914480000001,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,9669.1,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,37428734.20524598,37428734.20524598,0.0,6.0,272787.0031500001,10359.75,0.0,467353.43499993545,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.898750000002,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,10359.75,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,37386149.635425925,37386149.635425925,0.0,5.0,272786.9874300001,11050.4,0.0,466662.7999999343,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.88303,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,11050.4,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8500000000000001,37343565.06559589,37343565.06559589,0.0,8.0,272786.9717000001,11741.050000000001,0.0,465972.16499993386,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.867299999998,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,11741.050000000001,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,37306274.37868588,37306274.37868588,0.0,5.0,272786.95793000003,12345.8432,0.0,465367.38599993323,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.853529999997,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,12345.8432,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,37279078.42408584,37279078.42408584,0.0,4.0,272786.94791,12786.914800000002,0.0,464926.3229999326,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.843509999999,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,12786.914800000002,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,37257709.341595374,37257709.341595374,0.0,4.0,272786.9399900001,13133.486400000002,0.0,464579.76000008755,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.835589999999,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,13133.486400000002,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.05,37239262.882549986,37239262.882549986,0.0,6.0,272786.93319,13432.658000000001,0.0,464280.596,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.828789999996,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,13432.658000000001,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1,37223629.2920758,37223629.2920758,0.0,6.0,272786.9274200001,13686.208,0.0,464027.05099993205,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.82302,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,13686.208,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1500000000000001,37208697.39265581,37208697.39265581,0.0,5.0,272786.9219000001,13928.379600000002,0.0,463784.88599993224,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.8175,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,13928.379600000002,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,37197441.66380578,37197441.66380578,0.0,5.0,272786.91775,14110.929600000001,0.0,463602.34099993197,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.81335,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,14110.929600000001,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.25,37186185.74996576,37186185.74996576,0.0,4.0,272786.91359000007,14293.4796,0.0,463419.7929999311,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.809189999998,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,14293.4796,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,37174930.02110998,37174930.02110998,0.0,4.0,272786.90943000006,14476.029600000002,0.0,463237.248,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.80503,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,14476.029600000002,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.35,37167236.70006573,37167236.70006573,0.0,4.0,272786.9065900001,14600.801200000002,0.0,463112.4779999311,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.802189999999,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,14600.801200000002,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,37159816.10130572,37159816.10130572,0.0,5.0,272786.90385000006,14721.151200000002,0.0,462992.1309999311,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.799449999999,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,14721.151200000002,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4500000000000002,37152395.50253571,37152395.50253571,0.0,4.0,272786.9011000001,14841.501200000002,0.0,462871.7839999307,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.796699999997,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,14841.501200000002,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,37144974.96543573,37144974.96543573,0.0,5.0,272786.8983600001,14961.851200000001,0.0,462751.43799993093,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.793959999999,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,14961.851200000001,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.55,37137554.3050257,37137554.3050257,0.0,6.0,272786.89563000004,15082.201200000001,0.0,462631.0899999305,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.791229999999,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,15082.201200000001,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6,37130133.70626573,37130133.70626573,0.0,5.0,272786.8928900001,15202.551200000002,0.0,462510.7429999309,0.0,0.0,0.0,43200.0,3891.891839999999,20952.0,9089.212560000002,3096.0,14640.0,11088.0,0.0,20160.0,14320.788489999999,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,15202.551200000002,Existing
