CB,ITT,KGL,KGU,KA,VIC,BG,DG,MN,KA_s,CB_s,BG_s,DG_s,MN_s,obj,cost,deficit,n1active,hydro,solar,wind,coal,oil,biomass,gas,nuclear,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar,trans
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34590708.33515122,34590708.33515122,0.0,19.0,269578.10448592925,0.0,0.0,480922.08612820675,-1.1553720942932463e-13,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,0.0,0.0,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.1,0.0,0.0,34506628.7591513,34506628.7591513,0.0,20.0,269578.10448592925,1363.6000000000001,0.0,479558.486128208,-1.9604688243172555e-13,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,0.0,0.0,1363.6000000000001,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.2,0.0,0.0,34422549.18315129,34422549.18315129,0.0,19.0,269578.10448592925,2727.2000000000003,0.0,478194.88612820796,1.1009711660866136e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,0.0,0.0,2727.2000000000003,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.30000000000000004,0.0,0.0,34338469.60715129,34338469.60715129,0.0,16.0,269578.10448592925,4090.8,0.0,476831.286128208,-4.4834506477779236e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,0.0,0.0,4090.8,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0,34254390.031151295,34254390.031151295,0.0,18.0,269578.10448592925,5454.400000000001,0.0,475467.68612820795,-1.0343577846091042e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,0.0,0.0,5454.400000000001,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,34170310.455151305,34170310.455151305,0.0,21.0,269578.10448592925,6818.0,0.0,474104.08612820815,-7.756758198714427e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,0.0,0.0,6818.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.6000000000000001,0.0,0.0,34086230.87915127,34086230.87915127,0.0,20.0,269578.10448592925,8181.6,0.0,472740.48612820747,-4.6370314995177374e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,0.0,0.0,8181.6,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.7000000000000001,0.0,0.0,34002151.303151265,34002151.303151265,0.0,19.0,269578.10448592925,9545.199999999999,0.0,471376.88612820755,-5.902685747590415e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,0.0,0.0,9545.199999999999,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8,0.0,0.0,33921027.54232699,33921027.54232699,0.0,15.0,269578.10448592925,10860.862679602515,0.0,470061.2234486051,-1.8605487521009914e-13,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,0.0,0.0,10860.862679602515,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9,0.0,0.0,33872322.537369445,33872322.537369445,0.0,22.0,269578.10448592925,11650.758964998642,0.0,469271.32716320886,-1.7615538657385816e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,0.0,0.0,11650.758964998642,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
