CB,ITT,KGL,KGU,KA,VIC,BG,DG,MN,KA_s,CB_s,BG_s,DG_s,MN_s,obj,cost,deficit,n1active,hydro,solar,wind,coal,oil,biomass,gas,nuclear,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar,trans
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34462815.66429545,34462815.66429545,0.0,42.0,271686.45712120424,0.0,0.0,478813.73349293176,-6.872280522429719e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14444.35263527502,0.0,0.0,0.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,34379051.542154156,34379051.542154156,0.0,50.0,271681.25676085753,1363.6000000000001,0.0,477455.3338532795,8.291515622242211e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14439.15227492827,0.0,0.0,0.0,1363.6000000000001,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,34295287.42001278,34295287.42001278,0.0,45.0,271676.0564005108,2727.2000000000003,0.0,476096.9342136264,-5.4789506265251475e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14433.951914581517,0.0,0.0,0.0,2727.2000000000003,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.30000000000000004,0.0,34211523.29787142,34211523.29787142,0.0,41.0,271670.856040164,4090.8,0.0,474738.53457397316,1.2658392852434494e-13,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14428.751554234768,0.0,0.0,0.0,4090.8,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,34127759.175730065,34127759.175730065,0.0,46.0,271665.6556798173,5454.400000000001,0.0,473380.1349343201,4.668487818548783e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14423.551193888015,0.0,0.0,0.0,5454.400000000001,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,34043995.053588696,34043995.053588696,0.0,44.0,271660.4553194705,6818.0,0.0,472021.7352946668,-1.8688754247856803e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14418.350833541266,0.0,0.0,0.0,6818.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6000000000000001,0.0,33960230.93144733,33960230.93144733,0.0,43.0,271655.2549591238,8181.6,0.0,470663.33565501356,4.648133729763989e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14413.150473194512,0.0,0.0,0.0,8181.6,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7000000000000001,0.0,33876466.809305966,33876466.809305966,0.0,47.0,271650.05459877703,9545.199999999999,0.0,469304.9360153602,-1.365204245947401e-13,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14407.950112847762,0.0,0.0,0.0,9545.199999999999,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8,0.0,33795687.40478357,33795687.40478357,0.0,48.0,271645.039539807,10860.21164449412,0.0,467994.93942983623,-1.3063624256422676e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14402.935053877723,0.0,0.0,0.0,10860.21164449412,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9,0.0,33747204.948431075,33747204.948431075,0.0,49.0,271642.02958474413,11649.459783102357,0.0,467208.7012462907,-1.0658141036401503e-13,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14399.92509881483,0.0,0.0,0.0,11649.459783102357,49728.0,0.0,31272.0,0.0,Existing
