CB,ITT,KGL,KGU,KA,VIC,BG,DG,MN,KA_s,CB_s,BG_s,DG_s,MN_s,obj,cost,deficit,n1active,hydro,solar,wind,coal,oil,biomass,gas,nuclear,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar,trans
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34057801.64215674,34057801.64215674,0.0,42.0,278363.24614426313,0.0,0.0,472136.94446987374,-8.308168967611589e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,0.0,0.0,0.0,20160.0,14353.141658333894,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,33942339.41058171,33942339.41058171,0.0,48.0,278360.87056851416,1874.9,0.0,470264.4200456233,-1.3022916078853086e-13,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,0.0,0.0,1874.9,20160.0,14350.766082584845,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,33826877.179006636,33826877.179006636,0.0,47.0,278358.4949927651,3749.8,0.0,468391.8956213724,-5.058916248875297e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,0.0,0.0,3749.8,20160.0,14348.390506835794,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.30000000000000004,0.0,0.0,0.0,0.0,33711414.94743152,33711414.94743152,0.0,43.0,278356.119417016,5624.700000000001,0.0,466519.37119712064,-1.1542618712686212e-13,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,0.0,0.0,5624.700000000001,20160.0,14346.014931086742,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,33595952.71585645,33595952.71585645,0.0,45.0,278353.74384126696,7499.6,0.0,464646.8467728704,-2.7674159260489734e-13,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,0.0,0.0,7499.6,20160.0,14343.639355337691,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,33480490.484281328,33480490.484281328,0.0,43.0,278351.3682655179,9374.5,0.0,462774.3223486188,-5.699144859742471e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,0.0,0.0,9374.5,20160.0,14341.26377958864,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.0,0.0,0.0,0.0,33365028.252706245,33365028.252706245,0.0,48.0,278348.99268976884,11249.400000000001,0.0,460901.7979243676,-1.709743457922741e-13,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,0.0,0.0,11249.400000000001,20160.0,14338.88820383959,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7000000000000001,0.0,0.0,0.0,0.0,33249566.02113123,33249566.02113123,0.0,45.0,278346.6171140199,13124.300000000005,0.0,459029.2735001173,2.057613338971957e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,0.0,0.0,13124.300000000005,20160.0,14336.512628090537,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,0.0,0.0,0.0,0.0,33134103.789556164,33134103.789556164,0.0,44.0,278344.2415382707,14999.2,0.0,457156.74907586636,-2.3355391694697875e-13,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,0.0,0.0,14999.2,20160.0,14334.137052341488,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9,0.0,0.0,0.0,0.0,33050585.765711624,33050585.765711624,0.0,52.0,278342.52319808846,16355.383236456833,0.0,455802.2841795906,-2.0268971686239942e-13,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,0.0,0.0,16355.383236456833,20160.0,14332.418712159188,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,32999863.35093219,32999863.35093219,0.0,51.0,278341.4796106154,17179.02447543722,0.0,454979.6865280832,1.6283271027835629e-15,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,0.0,0.0,17179.02447543722,20160.0,14331.375124686125,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.1,0.0,0.0,0.0,0.0,32961150.234892253,32961150.234892253,0.0,50.0,278340.68310825806,17807.65619572499,0.0,454351.85131015285,-1.1050419838435725e-13,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,0.0,0.0,17807.65619572499,20160.0,14330.578622328774,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.2000000000000002,0.0,0.0,0.0,0.0,32930617.313448492,32930617.313448492,0.0,55.0,278340.0549091774,18303.456195724993,0.0,453856.6795092336,-4.555615144378559e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,0.0,0.0,18303.456195724993,20160.0,14329.950423248087,0.0,16248.0,16248.0,0.0,49728.0,0.0,31272.0,0.0,Existing
