CB,ITT,KGL,KGU,KA,VIC,BG,DG,MN,KA_s,CB_s,BG_s,DG_s,MN_s,obj,cost,deficit,n1active,hydro,solar,wind,coal,oil,biomass,gas,nuclear,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar,trans
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34396042.22905434,34396042.22905434,0.0,41.0,272787.239106719,0.0,0.0,477712.95150742074,5.810167162204986e-15,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14321.134620789699,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,0.0,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,34310873.17866105,34310873.17866105,0.0,45.0,272787.20765919646,1381.3000000000002,0.0,476331.682954943,-8.878083453585835e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14321.103173267189,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,1381.3000000000002,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,34225704.12826775,34225704.12826775,0.0,43.0,272787.176211674,2762.6000000000004,0.0,474950.4144024652,-1.2179146580137967e-13,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14321.071725744676,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,2762.6000000000004,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,34140535.07787445,34140535.07787445,0.0,41.0,272787.1447641515,4143.900000000001,0.0,473569.14584998763,9.429494222482997e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14321.040278222166,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,4143.900000000001,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,34055366.02748116,34055366.02748116,0.0,46.0,272787.1133166289,5525.200000000001,0.0,472187.87729751,-4.807265696626928e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14321.008830699657,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,5525.200000000001,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,33970196.97708787,33970196.97708787,0.0,43.0,272787.08186910645,6906.5,0.0,470806.6087450322,1.72454643158441e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14320.977383177147,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,6906.5,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,33885027.92669456,33885027.92669456,0.0,39.0,272787.050421584,8287.800000000001,0.0,469425.3401925545,5.047814018629045e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14320.94593565463,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,8287.800000000001,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,33799858.87630124,33799858.87630124,0.0,44.0,272787.0189740614,9669.1,0.0,468044.0716400768,3.4638958368304884e-14,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14320.914488132124,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,9669.1,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,33714689.825907946,33714689.825907946,0.0,43.0,272786.98752653896,11050.400000000001,0.0,466662.8030875992,-3.92278802034222e-15,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14320.883040609611,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,11050.400000000001,Existing
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,33634814.58456611,33634814.58456611,0.0,43.0,272786.9580336839,12345.843243243065,0.0,465367.38933721103,-1.237158523773966e-13,0.0,0.0,43200.0,3891.8918918918907,20952.0,9089.212594037324,3096.0,14640.0,11088.0,0.0,20160.0,14320.853547754652,0.0,16248.0,16248.0,0.0,49728.0,0.0,0.0,12345.843243243065,Existing
