year,month,dom,hour,obj,infinite_solar_penalty,infinite_solar,load,coal,oil,gas,nuclear,lower_solar,upper_solar,moz_hydro,zim_hydro,zam_hydro,biomass,wind,solar,hydro,BTSW_load,MAL_load,MOZ_load,NAM_load,ZAM_load,ZIM_load,zam_oil,nam_oil,mal_gas,zam_coal,zim_coal,nam_coal,btsw_coal,zam_biomass,mal_biomass,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,chi_hydro,cor_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar
2,3,0,1,48129800.85673775,0.0,0.0,30570.347930890002,24247.41225667631,2.000000000000026,83.62192146298649,1800.0000000000005,0.0,0.0,1736.3303150494742,60.97275157495731,1378.687545387582,0.0,0,0.0,6915.990612012014,248.5577708,195.6651182,1807.563969,123.3375453,1436.991685,841.5455956,0.0,2.631228568361621e-14,0.0,0.0,920.0,120.0,609.5482390541708,0.0,0.0,25.843186407443234,529.4247882518155,618.6024173639258,129.0,31.0,118.0,75.81715336439741,60.97275157495731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1587.3303150494742,0.0,0.0,0.0
2,3,0,2,48129800.85673775,0.0,0.0,30207.300404920003,23809.10680239936,1.9999999999969011,110.3019214629865,1800.0,0.0,0.0,1680.3441908108523,79.2645770474445,1435.523486571214,0.0,0,0.0,6935.132254429511,258.8287537,192.238471,1774.835038,121.1775576,1496.371509,876.3202089,0.0,-5.10702591327572e-15,0.0,0.0,920.0,120.0,601.4475708556107,0.0,0.0,33.596142329676205,688.2522247273602,486.11282014046094,129.0,31.0,118.0,98.56229937371666,79.2645770474445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1531.3441908108523,0.0,0.0,0.0
2,3,0,3,48129800.85673775,0.0,0.0,29961.896403930004,23657.083958465646,2.0000000000006133,136.9819214629865,1800.0,0.0,0.0,1548.8068739545342,102.69479480533765,1403.6718069114597,0.0,0,0.0,6795.173475671331,248.5577708,189.5040762,1758.420695,119.4539313,1436.991685,841.5455956,0.0,-4.496403249731884e-15,0.0,0.0,920.0,120.0,651.4909472803058,0.0,0.0,43.67498502857907,481.77655730915205,621.089275387897,129.0,31.0,118.0,128.13098918583165,102.69479480533765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1399.8068739545342,0.0,0.0,0.0
2,3,0,4,48129800.85673775,0.0,0.0,29961.233621580002,23596.63593753473,2.000000000000801,176.7519214629865,1800.0000000000005,0.0,0.0,1484.040385300708,133.50323324693898,1457.5913565951405,0.0,0,0.0,6815.134975142788,254.720371,187.0811928,1751.166277,117.9266663,1472.619639,862.4103989,0.0,-2.67841304690819e-14,0.0,0.0,920.0,120.0,666.5913517281882,0.0,0.0,56.7774805371528,337.24359011640644,768.0,129.0,31.0,118.0,166.57028594158118,133.50323324693898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335.040385300708,0.0,0.0,0.0
2,3,0,5,48129800.85673775,0.0,0.0,31393.65671683,25037.700849241817,1.999999999999994,216.5219214629865,1800.0,0.0,0.0,1453.4951083327276,173.55420322102069,1516.2204851424865,0.0,0,0.0,6882.865571814075,258.144032,191.2000924,1749.948106,120.5230154,1492.412914,874.0019368,0.0,-6.078471059822732e-15,0.0,0.0,920.0,120.0,697.9991488794694,0.0,0.0,73.81072469829864,397.36003641329074,699.5083523068415,129.0,31.0,118.0,216.54137172405555,173.55420322102069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1304.4951083327276,0.0,0.0,0.0
2,3,0,6,48129800.85673775,0.0,0.0,34538.93841339,28233.25574636703,1.9999999999999771,256.2919214629865,1800.0,0.0,0.0,1488.5319934257102,225.6204641873269,1593.6927538974478,0.0,0,0.0,7047.845211510485,262.9371538,204.9413066,1742.738866,129.1847925,1520.123479,890.2300779,0.0,-2.2912227670701668e-14,0.0,0.0,920.0,120.0,737.7836606778833,0.0,0.0,95.95394210778824,516.568047337278,570.6669812111091,129.0,31.0,118.0,281.50378324127223,225.6204641873269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1339.5319934257102,0.0,0.0,0.0
2,3,0,7,48129800.85673775,0.0,0.0,36854.267950379995,30197.16626473019,1.9999999999982205,296.0619214629865,1800.0,0.0,0.0,1781.839240500962,293.306603443525,1737.0778081109488,0.0,0,0.0,7547.223652055436,285.5333195,235.8849863,1765.510508,148.690147,1650.759115,966.734239,0.0,6.361577931102147e-14,0.0,0.0,920.0,120.0,746.0,0.0,0.0,124.74012474012473,671.5384615384614,445.84430361870875,129.0,31.0,118.0,365.9549182136539,293.306603443525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632.839240500962,0.0,0.0,0.0
2,3,0,8,48129800.85673775,0.0,0.0,37256.89542718001,29899.711236132563,2.0000000000026175,335.83192146298654,1800.0,0.0,0.0,2100.76396400885,381.2985844765825,2018.1190800595014,0.0,0,0.0,8240.181628544933,332.0951032,252.7413363,1864.483187,159.3155505,1919.947625,1124.379135,0.0,-1.1457501614131615e-13,0.0,0.0,920.0,120.0,714.6352763557031,0.0,0.0,162.16216216216216,873.0,378.7171914182219,129.0,31.0,118.0,475.23972647911745,381.2985844765825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1951.7639640088503,0.0,0.0,0.0
2,3,0,9,48129800.85673775,0.0,0.0,38303.3364911,30879.493724828884,6.973251944076706,375.6019214629865,1800.0,0.0,0.0,2221.0,435.8018318859304,1945.9416926888753,4.2,0,0.0,8342.743524574806,323.8783204,270.9821805,1897.732562,170.8136702,1872.443785,1096.559456,0.0,5.906386491005833e-14,0.0,0.0,920.0,120.0,746.0,0.0,4.2,124.74012474012473,766.758552846683,381.03637290721235,129.0,31.0,118.0,544.4066421948551,435.8018318859304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0
2,3,0,10,48129800.85673775,0.0,0.0,38184.53349791,30846.537343997672,32.471977241587155,415.3719214629865,1800.0,0.0,0.0,2221.0,369.2276348584488,1847.5678769365495,8.4,0,0.0,8177.795511794999,306.7600157,275.7933324,1901.222368,173.8463807,1773.477409,1038.601767,0.0,1.5054624213917123e-13,0.0,0.0,920.0,120.0,746.0,0.0,8.4,162.16216216216216,599.9909706525644,495.3472847793761,129.0,31.0,118.0,461.06745934244685,369.2276348584488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0
